Emily Davis,0.0,3900.0,HR
David Wilson,0.0,4400.0,DEVOPS
Sarah Thompson,0.0,3500.0,FINANCE
Matthew Harris,0.0,4100.0,HR
Jessica Martinez,0.0,3600.0,DEVOPS
Daniel Robinson,0.0,3000.0,FINANCE
Olivia Taylor,0.0,3800.0,HR
Christopher Walker,0.0,4300.0,DEVOPS
Sophia Thomas,0.0,3200.0,FINANCE
James White,0.0,4000.0,HR
Ava Garcia,0.0,3700.0,DEVOPS
Daniel Brown,0.0,3100.0,FINANCE
Mia Lee,0.0,4200.0,HR
Ethan Green,0.0,3900.0,DEVOPS
Amelia Clark,0.0,3400.0,FINANCE
Alexander Baker,0.0,3800.0,HR
Sophia Rodriguez,0.0,4322200.0,DEVOPS
Ethan Adams,0.0,3300.0,FINANCE
Emily Campbell,0.0,4000.0,HR
William Martinez,0.0,3900.0,DEVOPS
Grace Wright,0.0,3100.0,FINANCE
Daniel Anderson,0.0,3900.0,HR
Emma Mitchell,0.0,4000.0,DEVOPS
Benjamin Bell,0.0,3200.0,FINANCE
Abigail King,0.0,3800.0,HR
Joshua Turner,0.0,4100.0,DEVOPS
Sofia Hill,0.0,3500.0,FINANCE
Samuel Cooper,0.0,4000.0,HR
Avery Scott,0.0,3700.0,DEVOPS
Victoria Reed,0.0,3300.0,FINANCE
Joseph Johnson,0.0,4100.0,HR
Ella Morris,0.0,3600.0,DEVOPS
Henry Peterson,0.0,3200.0,FINANCE
Lillian Bailey,0.0,3900.0,HR
Jackson Rogers,0.0,4200.0,DEVOPS
Elizabeth Cook,0.0,3400.0,FINANCE
Andrew Bennett,0.0,4000.0,HR
Madison Adams,0.0,3800.0,DEVOPS
Samuel Foster,0.0,3100.0,FINANCE
Scarlett Wright,0.0,4000.0,HR
David Turner,0.0,3900.0,DEVOPS
Natalie Thompson,0.0,3300.0,FINANCE
Sebastian Walker,0.0,4100.0,HR
Aria Hall,0.0,3600.0,DEVOPS
Michael Phillips,0.0,3200.0,FINANCE
Chloe Butler,0.0,3900.0,HR
Andrew Young,0.0,4200.0,DEVOPS
Grace Hill,0.0,3400.0,FINANCE
Ryan James,0.0,4100.0,HR
Samantha Wright,0.0,3700.0,DEVOPS
Jonathan Morgan,0.0,3300.0,FINANCE
Hailey Reed,0.0,3800.0,HR
Nathan Gray,0.0,4200.0,DEVOPS
Lily Stewart,0.0,3200.0,FINANCE
Ryan Adams,0.0,4000.0,HR
Samantha Phillips,0.0,3800.0,DEVOPS
Christopher Turner,0.0,3100.0,FINANCE
